All-alpha 16VPA_10_189_206	P06492_235_252
All-beta 2CDPA_2_66_100	Q6DN99_499_533
Alpha-beta 2CDQA_12_364_394	Q9LYU8_423_453
Alpha-beta 2CDUA_10_413_451	Q9F1X5_413_451
Alpha-beta 2CFUA_10_1_22	Q9I5I9_1_22
All-alpha 2CFUA_11_574_595	Q9I5I9_574_595
Alpha-beta 2CG5B_1_25_59	P49327_2141_2175
Alpha-beta 2CG8A_3_61_111	P59657_61_111
Alpha-beta 2CG8A_5_112_164	P59657_112_164
All-beta 2CH5A_10_1_37	Q9UJ70_1_34
All-beta 2CH9A_2_97_126	O76096_116_145
Alpha-beta 2CHCA_5_36_69	O06337_34_67
All-alpha 2CIBA_10_194_226	P9WPP9_194_226
All-beta 2CIUA_4_55_70	P53220_153_168
All-alpha 2CJ4A_4_24_39	O49908_40_55
All-beta 2CJAA_11_377_411	Q46AN5_357_391
All-beta 2CJPA_10_1_20	Q41415_1_13
Alpha-beta 2CJPA_10_96_134	Q41415_89_127
All-beta 2CJQA_10_378_395	Q96662_3566_3583
All-beta 2CJQA_11_264_280	Q96662_3452_3468
All-beta 2CM2A_5_126_179	P18031_120_173
All-beta 2CN3A_13_642_694	Q70DK5_669_721
All-beta 2CNTA_3_36_76	Q8ZJW4_36_76
All-beta 2CVHA_1_176_220	P95547_176_220
Alpha-beta 2CW8A_14_469_501	P77933_1320_1352
All-beta 2CWRA_2_1_28	Q8U1H5_256_283
All-alpha 2CXAA_2_93_123	P0A8P1_76_106
All-alpha 2CY2A_2_22_38	Q5SJ05_23_39
Alpha-beta 2CY8A_3_69_122	Q6VY99_69_122
Alpha-beta 2CZLA_10_116_140	Q5SI12_116_140
Alpha-beta 2CZVC_2_52_100	O59150_52_100
All-beta 2D0BA_11_37_55	Q6L6Q4_37_55
All-alpha 2D0BA_11_56_71	Q6L6Q4_56_71
All-alpha 2D1SA_11_519_539	P13129_519_539
All-alpha 2D5CA_10_229_246	Q5SJF8_229_246
Alpha-beta 2DC1A_2_59_108	O28440_59_108
Alpha-beta 2DDMA_1_210_264	P40191_210_264
All-beta 2DDUA_6_259_301	Q60841_1478_1520
Alpha-beta 2DEBA_10_225_249	P18886_230_254
All-alpha 2DEJA_14_61_76	O58107_61_76
All-beta 2DG1A_10_225_248	Q99QV3_224_247
All-alpha 2DG7A_2_151_186	Q9RK42_151_186
Alpha-beta 2DH2A_14_324_365	P08195_530_571
All-beta 2DHOA_4_38_76	Q13907_30_68
Alpha-beta 2DKJA_10_68_85	Q5SI56_68_85
All-alpha 2DPMA_10_228_243	P04043_228_243
All-alpha 2DPMA_10_93_114	P04043_93_114
Alpha-beta 2DQ0A_10_217_251	O58441_217_251
All-alpha 2DQBA_10_76_105	Q5SL81_76_105
Alpha-beta 2DQLA_2_17_62	Q8YQ56_17_62
Alpha-beta 2DQLA_2_63_96	Q8YQ56_63_96
Alpha-beta 2DR1A_10_310_353	O59033_310_353
Alpha-beta 2DULA_7_68_109	O59493_71_112
Alpha-beta 2DVKA_1_70_115	Q9YDV3_70_115
Alpha-beta 2DVZA_2_226_271	Q7W0A0_239_284
All-beta 2E01A_12_219_242	Q01532_244_267
Alpha-beta 2E1FA_1_1_48	Q14191_1140_1187
All-beta 2E1ZA_10_191_217	O06961_178_204
All-alpha 2E2OA_10_35_60	Q96Y14_35_60
Alpha-beta 2E2OA_10_61_87	Q96Y14_61_87
All-beta 2E4MC_2_41_82	Q9LBR4_41_82
All-alpha 2E50A_2_17_59	Q01105_30_72
All-alpha 2E87A_10_69_92	O59046_69_92
All-alpha 2E8BA_1_142_165	O67413_142_165
All-alpha 2E8VA_10_232_256	Q12051_227_251
All-beta 2ECFA_10_246_297	P95782_246_297
Alpha-beta 2EGVA_4_67_111	O66552_67_111
Alpha-beta 2EIHA_11_241_274	Q5SL27_241_274
All-alpha 2EIXA_3_217_243	Q1HA49_255_281
All-beta 2EIXA_4_46_64	Q1HA49_84_102
Alpha-beta 2EJQA_1_65_107	Q5SLR6_65_107
Alpha-beta 2EJXA_2_21_60	Q973T5_18_57
Alpha-beta 2EK1A_1_52_79	Q9NTZ6_892_919
Alpha-beta 2EK1A_2_1_25	Q9NTZ6_841_865
All-alpha 2EK5A_1_79_115	Q8NLJ5_79_115
Alpha-beta 2EK5A_3_45_78	Q8NLJ5_45_78
Alpha-beta 2EKLA_10_136_164	Q972A9_136_164
Alpha-beta 2EKLA_10_222_254	Q972A9_222_254
Alpha-beta 2ELCA_10_131_153	Q5SH88_131_153
Alpha-beta 2ENDA_1_1_23	P04418_1_23
All-alpha 2EO5A_10_78_103	F9VN77_78_103
All-alpha 2EO5A_11_387_412	F9VN77_387_412
Alpha-beta 2EQ5A_2_1_45	O58781_1_45
All-alpha 2ES4D_10_174_215	Q05490_194_235
Alpha-beta 2ESHA_2_54_91	Q9X035_54_91
All-beta 2ESSA_6_76_109	Q8A611_75_108
All-beta 2ESSA_7_192_208	Q8A611_191_207
All-beta 2ESSA_8_209_227	Q8A611_208_226
All-alpha 2ETHA_3_25_48	Q9WZS3_13_36
All-alpha 2ETVA_10_135_156	Q9WY32_147_168
All-alpha 2EVAA_6_41_64	O43318_67_90
Alpha-beta 2EX4A_7_133_166	Q9BV86_115_148
Alpha-beta 2EZ2A_3_51_110	P31013_51_110
All-alpha 2F07A_3_160_189	O07001_157_186
All-beta 2F1LA_2_106_141	Q9HXQ0_94_129
Alpha-beta 2F2HA_10_301_347	P31434_301_347
All-alpha 2F31A_6_91_131	Q3US76_234_274
All-alpha 2F31A_7_91_115	Q3US76_234_258
Alpha-beta 2F4LA_10_204_227	Q9WXX3_192_215
Alpha-beta 2F5XA_10_158_178	Q7VTS1_171_191
All-alpha 2F5XA_10_244_271	Q7VTS1_257_284
All-alpha 2F62A_2_44_61	Q57VC7_36_53
All-beta 2F68X_10_114_139	Q53654_135_160
All-beta 2F68X_10_219_234	Q53654_240_255
All-alpha 2F9IA_10_241_256	Q2FG38_228_243
All-beta 2FFGA_3_23_40	O34588_23_40
Alpha-beta 2FFIA_10_49_79	Q88M75_49_79
All-alpha 2FFJA_10_75_100	O29161_63_88
All-beta 2FFSA_2_69_115	Q9I4D2_69_115
All-beta 2FGQX_2_209_266	P24305_228_285
All-alpha 2FLDA_4_112_145	C0JWR6_117_150
All-beta 2FM8A_2_32_56	P0A1N0_32_56
All-alpha 2FM9A_5_53_71	P0CL52_101_119
All-beta 2FP8A_10_154_178	P68175_176_200
All-beta 2FP8A_10_72_91	P68175_94_113
All-beta 2FPEA_1_25_55	Q9R237_509_539
Alpha-beta 2FPHX_3_33_71	Q8DNW3_58_96
Alpha-beta 2FPNA_2_99_136	O32277_129_166
All-beta 2FPOA_3_135_177	P0ADX9_133_175
Alpha-beta 2FQ3A_4_53_69	P32591_347_363
All-alpha 2FV2A_2_132_181	Q92600_149_198
All-alpha 2FXUA_10_330_345	P68135_332_347
All-beta 2FY7A_1_245_268	P15291_356_379
All-alpha 2FY7A_7_191_206	P15291_302_317
All-beta 2G30A_4_168_215	P63010_847_894
All-beta 2G7BA_1_113_137	P29373_114_138
Alpha-beta 2G7GA_1_149_167	Q0S9X7_147_165
All-alpha 2G7LA_3_26_46	Q93JG8_26_46
All-alpha 2G82A_10_33_52	P00361_33_52
All-beta 2G8SA_10_85_124	P75804_102_141
Alpha-beta 2GAGB_10_166_189	Q3ZDR0_166_189
Alpha-beta 2GENA_2_130_188	Q9I2Q9_128_186
Alpha-beta 2GFHA_4_50_96	Q9CPT3_38_84
All-beta 2GFIA_14_373_397	A2TBB4_376_400
All-alpha 2GFNA_5_154_177	Q0S7R9_154_177
All-beta 2GGOA_10_280_320	Q975F9_280_320
All-beta 2GJ3A_4_74_94	P30663_94_114
Alpha-beta 2GL5A_13_273_297	Q8ZNH1_271_295
All-alpha 2GLFA_10_294_319	Q9WYJ9_295_320
Alpha-beta 2GLFA_10_418_450	Q9WYJ9_419_451
All-beta 2GLLA_4_105_139	O25928_93_127
All-beta 2GLXA_11_191_218	Q2I8V6_192_219
All-alpha 2GLZA_3_122_137	B8FYU2_121_136
Alpha-beta 2GMFA_2_94_121	P04141_111_138
Alpha-beta 2GN4A_4_165_204	O25511_154_193
All-alpha 2GNXA_10_1_28	Q6P1I3_102_129
All-beta 2GOPA_10_275_301	Q8U3Y3_275_301
All-alpha 2GOYA_4_1_27	O05927_1_27
Alpha-beta 2GOYA_6_58_86	O05927_58_86
All-beta 2GPJA_6_1_31	A4Y1H9_1_30
All-beta 2GQWA_10_197_230	Q52437_197_230
All-beta 2GQWA_11_328_365	Q52437_328_365
Alpha-beta 2GQWA_15_156_173	Q52437_156_173
All-beta 2GREA_10_92_126	Q81HB5_92_126
Alpha-beta 2GREA_8_280_313	Q81HB5_280_313
All-alpha 2GSCA_1_72_113	Q8PD29_72_113
All-beta 2GTIA_10_317_348	Q9J3E8_2376_2407
All-beta 2GU0A_10_155_191	Q9PY93_155_191
All-alpha 2GU0A_4_72_104	Q9PY93_72_104
All-alpha 2GU1A_10_22_45	Q9KUL5_81_104
All-beta 2GVIA_6_86_102	Q9HJ63_85_101
Alpha-beta 2GWGA_11_85_104	Q6N0R4_85_104
All-alpha 2GWNA_6_185_236	Q7MVW1_182_233
Alpha-beta 2GX5A_2_22_58	P39779_12_48
All-beta 2GY5A_10_346_387	Q02763_368_409
All-alpha 2GZ6A_10_164_183	A4UA16_164_183
All-beta 2H0BA_3_86_123	Q28146_378_430
Alpha-beta 2H1CA_2_71_115	Q5F882_71_115
Alpha-beta 2H1EA_3_109_150	P32657_273_314
Alpha-beta 2H21A_10_183_225	Q43088_231_273
All-beta 2H3GX_10_1_17	Q81VX4_1_17
Alpha-beta 2H3GX_3_190_232	Q81VX4_190_232
Alpha-beta 2H3HA_10_1_41	Q9WXW9_31_71
All-alpha 2H5XA_3_92_133	P9WGW3_92_133
Alpha-beta 2H5YA_4_150_191	Q8PHA1_154_195
Alpha-beta 2H6EA_3_108_152	Q97YM2_113_157
Alpha-beta 2HCMA_3_23_61	Q8BTR5_22_60
All-alpha 2HD0A_3_19_49	P27958_917_947
Alpha-beta 2HDWA_10_44_83	Q01609_48_87
All-alpha 2HEUA_10_350_390	A0A0H2_365_405
Alpha-beta 2HEUA_11_83_116	A0A0H2_98_131
Alpha-beta 2HF9A_3_35_84	Q57884_30_79
Alpha-beta 2HFSA_4_292_325	Q4Q6K7_289_322
Alpha-beta 2HJGA_11_345_400	P50743_345_400
Alpha-beta 2HK0A_4_65_110	A9CH28_45_90
All-beta 2HLYA_2_179_196	A9CI22_174_191
All-alpha 2HLZA_10_135_150	P50053_121_136
Alpha-beta 2HLZA_10_44_60	P50053_30_46
Alpha-beta 2HLZA_4_44_89	P50053_30_75
Alpha-beta 2HMAA_10_54_69	Q97T38_51_66
Alpha-beta 2HMVA_3_67_118	O32080_67_118
All-alpha 2HSBA_2_84_99	O29944_83_98
All-beta 2HTAA_10_219_236	Q8ZPV9_204_221
All-beta 2HTHB_2_63_86	Q86VN1_61_84
All-alpha 2I0OA_10_237_256	Q7PP01_511_530
Alpha-beta 2I10A_2_93_112	Q0RX74_91_110
All-alpha 2I10A_4_33_55	Q0RX74_31_53
All-beta 2I1OA_17_324_341	Q9HJ28_318_335
All-beta 2I1YA_10_134_184	Q16849_812_862
All-beta 2I1YA_12_150_165	Q16849_828_843
All-beta 2I24N_1_49_70	Q8AXH5_49_70
Alpha-beta 2I2CA_10_1_18	Q8Y8D7_1_18
Alpha-beta 2I2CA_10_37_61	Q8Y8D7_37_61
Alpha-beta 2I6JA_5_17_36	Q97VZ7_17_36
All-beta 2I74A_6_17_33	Q9JI78_487_503
Alpha-beta 2I8TA_2_53_79	Q6XQ58_53_79
All-beta 2IAFA_4_105_125	Q5WYB1_115_135
All-alpha 2IAIA_4_133_176	Q9XA31_112_155
All-beta 2ID0A_10_355_377	P30850_355_377
Alpha-beta 2ID1A_2_1_40	Q7P0P8_1_40
Alpha-beta 2ID5A_10_225_260	Q96FE5_264_299
Alpha-beta 2ID5A_13_261_298	Q96FE5_300_337
Alpha-beta 2IEWA_4_224_258	P07250_224_258
All-alpha 2IH2A_10_113_134	P14385_113_134
All-alpha 2IHTA_10_478_503	Q9LCV9_478_503
Alpha-beta 2IHTA_13_520_553	Q9LCV9_520_553
All-beta 2IHYA_4_1_29	A0A0H2_1_10
All-alpha 2II0A_13_129_149	Q07889_688_708
Alpha-beta 2II1A_5_247_268	Q9KGN3_246_267
All-alpha 2II2A_10_199_227	Q4VPP2_196_224
All-alpha 2II2A_10_46_71	Q4VPP2_43_68
Alpha-beta 2II2A_2_72_128	Q4VPP2_69_125
All-beta 2IIAA_2_16_51	Q8YSC3_10_45
All-beta 2IIHA_4_68_100	Q5SHE1_68_100
Alpha-beta 2IJ2A_10_279_310	P14779_280_311
Alpha-beta 2IM5A_10_87_121	Q7MXV0_87_121
All-alpha 2IMGA_1_98_149	Q9BVJ7_97_148
All-alpha 2IMSA_3_82_140	Q16611_97_155
Alpha-beta 2IN3A_2_42_83	Q82S11_40_81
Alpha-beta 2INPL_1_1_41	Q84AQ3_1_41
Alpha-beta 2IP2A_10_221_269	Q9HWH2_221_269
Alpha-beta 2IP2A_10_270_300	Q9HWH2_270_300
All-alpha 2IP2A_7_38_76	Q9HWH2_38_76
Alpha-beta 2IT2A_2_139_188	O58796_135_184
Alpha-beta 2IT2A_3_55_97	O58796_51_93
All-alpha 2ITMA_10_164_203	P09099_164_203
Alpha-beta 2IW2A_10_126_141	P12955_125_140
All-alpha 2IWRA_3_89_108	Q99490_488_507
All-beta 2IWZA_10_402_426	Q9NWU1_423_447
Alpha-beta 2IZ6A_6_24_60	Q8RV61_16_52
All-beta 2J3TC_5_61_85	Q5NCF2_61_85
Alpha-beta 2J4OA_10_35_80	Q15750_35_80
All-alpha 2J5BA_10_300_321	Q5UPJ7_298_319
All-beta 2J5UA_4_66_103	Q8Y6Y4_114_151
Alpha-beta 2J5VA_2_49_81	P0A7B5_49_81
All-alpha 2J6LA_17_224_242	P49419_251_269
All-alpha 2J7NA_11_411_433	Q9Y7G6_791_813
All-alpha 2J7UA_14_287_303	Q6YMS4_3042_3058
Alpha-beta 2J89A_6_23_46	A9PFX3_22_45
Alpha-beta 2J89A_8_109_125	A9PFX3_108_124
Alpha-beta 2J9OA_2_71_120	Q8DH45_162_211
Alpha-beta 2JA2A_10_196_247	P9WFV9_196_247
Alpha-beta 2JDIA_11_400_447	P19483_443_490
All-alpha 2JE8A_13_132_147	Q8AAK6_155_170
All-alpha 2JEKA_4_101_120	O07756_101_120
Alpha-beta 2JJQA_2_57_93	Q9UZR7_37_73
All-alpha 2JLNA_10_35_72	D6R8X8_35_72
Alpha-beta 2NLZA_10_463_499	Q9KEI5_463_499
All-beta 2NS6A_3_102_124	D0VWX2_102_124
All-alpha 2NSAA_3_65_88	Q9WZF8_307_330
All-alpha 2NSZA_2_35_87	Q61823_356_408
Alpha-beta 2NVAA_5_40_91	Q84527_40_91
All-alpha 2NWHA_10_116_133	A9CII5_98_115
Alpha-beta 2NWIA_1_107_160	O28875_105_158
All-alpha 2NWLA_16_245_262	O59010_245_262
All-alpha 2NX2A_4_140_162	P50838_139_161
All-beta 2NX8A_6_33_48	Q5XE14_25_40
Alpha-beta 2NYVA_2_139_198	O67359_137_196
All-beta 2NZCA_2_31_53	Q9X0Z3_29_51
Alpha-beta 2O1SA_20_360_376	P77488_360_376
All-alpha 2O20A_10_162_179	Q9CF33_162_179
All-beta 2O20A_10_33_48	Q9CF33_33_48
All-alpha 2O36A_13_447_486	P52888_462_501
All-beta 2O3BB_5_110_135	Q7A260_109_134
All-alpha 2O3FA_1_16_55	Q45581_13_52
Alpha-beta 2O4CA_10_292_319	Q9I3W9_292_319
All-beta 2O4VA_13_361_384	P05695_390_413
Alpha-beta 2O5NA_10_177_208	_-_-
All-beta 2O5NA_10_18_44	_-_-
All-beta 2O5NA_10_209_239	_-_-
All-beta 2O62A_10_89_116	B2J6L8_88_115
All-alpha 2O6LA_4_131_162	P16662_412_443
Alpha-beta 2O6LA_6_105_130	P16662_386_411
All-alpha 2O6YA_10_458_490	Q3IWB0_458_490
Alpha-beta 2O6YA_10_491_514	Q3IWB0_491_514
Alpha-beta 2O7SA_20_149_175	Q9SQT8_238_264
All-alpha 2O7TA_5_28_57	Q8NQ14_27_56
All-alpha 2O8BB_10_413_444	P52701_751_782
All-alpha 2O8BB_10_445_471	P52701_783_809
All-alpha 2O8IA_2_105_138	A9CI02_105_138
All-beta 2O8LA_4_20_48	Q99V45_88_116
All-beta 2O8QA_2_66_102	Q13HN3_65_101
All-alpha 2O9GA_5_180_233	P60844_177_230
All-alpha 2OAP1_3_59_100	O29598_59_100
Alpha-beta 2OCZA_3_73_111	P63590_70_108
Alpha-beta 2OCZA_4_73_96	P63590_70_93
All-alpha 2ODAA_2_136_155	Q884H9_136_155
All-alpha 2OEZA_2_57_104	Q87LT3_55_102
All-alpha 2OF7A_6_1_41	Q9EWH2_1_18
All-alpha 2OG5A_10_179_194	Q9Z4Z5_155_170
All-beta 2OG9A_14_25_50	Q12GE3_23_48
All-beta 2OGFA_2_90_121	Q57851_89_120
All-alpha 2OGIA_3_19_62	Q8DY32_18_61
Alpha-beta 2OGJA_10_91_120	Q7CS13_89_118
All-alpha 2OGKA_2_49_78	O27966_48_77
Alpha-beta 2OGXA_3_17_51	P84308_17_51
All-alpha 2OH3A_3_17_46	Q2VZ87_16_45
All-beta 2OH5A_7_26_55	O10693_26_55
All-alpha 2OIBA_3_238_282	Q9NWZ3_397_441
All-alpha 2OIEA_1_80_102	Q9QY93_95_117
All-beta 2OITA_13_92_112	P35658_92_112
All-beta 2OIZA_12_77_100	P84888_106_129
Alpha-beta 2OMZB_1_69_104	P12830_219_254
Alpha-beta 2ONFA_2_43_78	Q9HLN2_42_77
All-beta 2OOIA_3_123_142	A0A0H3_195_214
All-beta 2OQ1A_10_43_61	P43403_45_63
All-beta 2OS0A_5_120_139	Q82ZJ0_120_139
All-alpha 2OTAA_1_23_67	Q481E4_23_67
All-alpha 2OUXA_10_70_90	Q830V1_69_89
All-beta 2OVRB_17_119_137	Q969H0_381_399
Alpha-beta 2OX1A_2_1_44	O30011_1_44
All-beta 2OZNA_1_84_133	Q0TR53_828_877
Alpha-beta 2OZVA_1_190_207	Q7D120_168_185
All-beta 2P0DA_4_68_85	Q9BRR9_379_396
All-beta 2PBIB_12_101_116	P62881_142_157
Alpha-beta 2PE4A_10_159_183	Q12794_178_202
All-beta 2PIEA_4_55_71	O76064_63_79
All-beta 2PKFA_10_227_250	P9WID5_217_240
All-beta 2POFA_7_179_197	Q8X7A5_203_221
All-beta 2PORA_10_153_168	P31243_153_168
All-beta 2PORA_10_185_202	P31243_185_202
All-beta 2PORA_8_231_263	P31243_231_263
All-alpha 2POZA_10_185_202	Q981H6_183_200
All-beta 2PPTA_4_114_134	_-_-
All-alpha 2PPXA_1_1_37	A9CIQ1_1_35
All-alpha 2PPXA_2_1_22	A9CIQ1_1_20
Alpha-beta 2PQ8A_8_143_176	Q9H7Z6_314_347
All-alpha 2PS1A_1_194_224	P13298_194_224
All-alpha 2PS5A_10_240_269	P13513_240_269
All-alpha 2PS5A_10_306_337	P13513_306_337
Alpha-beta 2PT5A_2_132_165	O67925_132_165
All-beta 2PTFA_6_17_52	O26951_15_50
All-beta 2PTTB_1_64_108	Q07763_81_125
Alpha-beta 2PVBA_2_58_87	P02619_57_86
All-alpha 2PVQA_6_153_187	P81065_153_187
Alpha-beta 2PVUA_4_159_185	D0VWX8_139_165
All-alpha 2PW0A_10_309_335	Q8EJW4_309_335
All-beta 2PW0A_11_126_155	Q8EJW4_126_155
Alpha-beta 2PW6A_4_121_145	P24197_121_145
All-beta 2PW9A_1_1_25	Q6AMB9_1_23
Alpha-beta 2PWJA_3_77_103	Q6KBB1_105_131
All-beta 2PWJA_4_127_143	Q6KBB1_155_171
Alpha-beta 2PWWA_1_83_115	Q5WFD8_81_113
Alpha-beta 2PWYA_6_155_190	Q8GBB2_152_187
Alpha-beta 2PWYA_7_121_154	Q8GBB2_118_151
All-alpha 2PY5A_10_186_208	P03680_186_208
All-beta 2PYGA_10_133_171	Q44493_133_171
All-beta 2PYGA_10_172_218	Q44493_172_218
All-beta 2PYGA_10_320_374	Q44493_320_374
All-alpha 2PZIA_10_505_544	P9WI73_574_613
All-beta 2Q0LA_10_80_98	P56431_80_98
Alpha-beta 2Q0LA_2_64_115	P56431_64_115
All-beta 2Q2BA_4_67_85	Q91V12_269_287
All-beta 2Q30A_2_39_93	Q30YZ6_34_88
Alpha-beta 2Q3FA_4_77_123	Q9NQL2_135_181
All-beta 2Q4NA_3_113_144	O64527_113_144
All-alpha 2Q4OA_1_135_156	Q8L8B8_135_156
Alpha-beta 2Q4WA_5_206_244	Q9FUJ1_206_244
All-alpha 2Q4XA_5_55_79	Q9ASY9_55_79
Alpha-beta 2Q62A_7_126_158	Q92R45_126_158
All-alpha 2Q66A_13_54_77	P29468_58_81
All-beta 2Q9KA_4_67_82	B1YJ68_66_81
All-alpha 2Q9RA_3_1_23	A3D7B7_1_22
Alpha-beta 2Q9UA_10_105_127	Q86QZ1_105_127
All-alpha 2QCXA_5_177_200	P25052_150_173
All-alpha 2QDEA_10_69_91	Q5P025_67_89
Alpha-beta 2QGYA_10_246_298	_-_-
All-beta 2QHLA_4_79_95	Q8UWK5_99_115
All-alpha 2QHQA_3_61_78	Q87IM6_58_75
Alpha-beta 2QJWA_2_121_160	Q8PAE4_120_159
All-alpha 2QK2A_10_197_218	Q9VEZ3_460_481
All-alpha 2QK2A_10_53_77	Q9VEZ3_316_340
All-alpha 2QK2A_4_78_129	Q9VEZ3_341_392
All-beta 2QKDA_15_17_32	Q62384_53_68
Alpha-beta 2QLTA_2_91_143	P41277_68_120
Alpha-beta 2QLTA_7_174_197	P41277_151_174
Alpha-beta 2QPXA_14_112_129	Q03BX7_111_128
All-alpha 2QQ6A_12_37_60	Q1AYK7_35_58
Alpha-beta 2QR3A_4_34_52	Q64UD2_32_50
All-beta 2QR7A_6_1_41	P18654_399_439
All-beta 2QR7A_6_62_79	P18654_460_477
Alpha-beta 2QSJA_3_50_91	Q5LQW4_48_89
All-beta 2QUYA_10_1_24	P12256_4_27
Alpha-beta 2QV7A_11_64_81	Q6GFF9_42_59
Alpha-beta 2QYVA_10_350_382	Q0I1B9_349_381
Alpha-beta 2QYVA_2_383_435	Q0I1B9_382_434
All-alpha 2QZCA_3_133_176	Q97WL0_132_175
All-beta 2R0HA_5_107_124	Q206Z5_107_124
All-beta 2R2AA_5_139_162	Q9JRY6_136_159
All-alpha 2R2JA_10_217_239	Q9BS26_241_263
All-alpha 2R2NA_10_295_324	Q8N5Z0_295_324
All-beta 2RA1A_12_294_327	O68840_325_358
Alpha-beta 2RA8A_10_309_342	Q64V53_309_342
Alpha-beta 2RB7A_2_282_324	Q313A9_281_323
Alpha-beta 2RB9A_10_253_292	A0A0H3_255_294
Alpha-beta 2RC8A_1_249_284	Q9R1M7_870_905
All-alpha 2RCCA_10_122_148	Q9KFH7_121_147
All-alpha 2RCCA_10_149_178	Q9KFH7_148_177
All-alpha 2RCCA_10_59_78	Q9KFH7_58_77
All-beta 2RCKA_5_124_152	Q8ITP4_144_172
All-alpha 2RCTA_1_19_40	P50120_16_37
All-beta 2RCTA_3_70_104	P50120_67_101
All-beta 2RCTA_4_105_126	P50120_102_123
All-alpha 2RCYA_3_171_198	Q8IDC6_170_197
All-alpha 2RDCA_1_1_35	Q74H32_1_34
All-beta 2RDEA_4_17_50	A0A0H3_18_51
Alpha-beta 2RDPA_4_40_70	D0VWY6_40_70
Alpha-beta 2RDXA_13_194_223	A3SNF8_192_221
All-beta 2RE3A_4_84_113	Q5LWU5_83_112
All-alpha 2REKA_4_37_59	Q9ADD9_37_59
All-alpha 2RFAA_7_29_63	Q91WD2_111_145
All-alpha 2RFBA_10_114_141	Q6KZ68_114_141
All-alpha 2RFLA_1_104_128	A9CJ67_102_126
All-beta 2RG4A_1_166_206	Q2CBJ1_164_204
All-alpha 2UX0A_2_21_38	Q13555_436_453
Alpha-beta 2UXYA_10_150_189	P11436_150_189
All-alpha 2UY1A_10_1_50	Q8SWC5_1_50
Alpha-beta 2UYTA_18_410_427	Q1R415_410_427
All-beta 2V3AA_10_253_284	Q9HTK9_253_284
Alpha-beta 2V3AA_3_61_111	Q9HTK9_61_111
All-alpha 2V3ZA_10_419_440	P15034_420_441
All-alpha 2V6KA_2_110_131	O86043_108_129
Alpha-beta 2V72A_1_1_54	Q8XMY5_38_91
Alpha-beta 2V8FA_1_98_139	Q9JJV2_98_139
All-alpha 2VC7A_12_182_198	Q97VT7_182_198
Alpha-beta 2VCYA_10_217_269	Q9BV79_246_298
All-beta 2VDFA_3_131_147	Q9AE79_131_147
Alpha-beta 2VHAA_8_159_179	A0A0H2_182_202
Alpha-beta 2VLGA_1_1_41	P16497_7_47
Alpha-beta 2VOSA_5_121_158	O53174_121_158
Alpha-beta 2VP8A_6_172_209	P9WNC9_172_209
All-alpha 2VPAA_4_24_42	Q9RW27_3_21
All-alpha 2VPTA_1_161_201	A3DDK4_191_231
Alpha-beta 2VQ3A_4_135_174	Q658P3_135_174
All-alpha 2VQ8A_1_1_16	__-
All-alpha 2VQGA_1_1_21	Q8NRS3_28_48
All-beta 2VQPA_10_56_77	P0DOE7_55_76
All-beta 2VRWB_10_211_259	P27870_380_428
All-beta 2VSDA_1_52_93	Q5ZJ90_72_113
All-alpha 2VVLA_10_179_214	P46882_179_214
Alpha-beta 2VX8A_3_60_103	P52594_17_60
Alpha-beta 2W25A_1_1_54	P96896_1_54
All-alpha 2W2DB_10_402_423	P0DPI1_848_869
All-beta 2W3GA_4_18_45	P9WGK3_75_102
Alpha-beta 2W3PA_13_128_156	Q13WK7_128_156
All-alpha 2W3QA_4_18_43	Q3I4V7_14_39
All-alpha 2W3QA_5_176_203	Q3I4V7_172_199
Alpha-beta 2W3QA_7_100_129	Q3I4V7_96_125
Alpha-beta 2W40A_10_406_439	Q8IDI4_404_437
All-alpha 2W4SA_1_1_37	__-
Alpha-beta 2W59A_5_71_102	_-_-
All-beta 2W5FA_10_1_55	P51584_12_66
Alpha-beta 2W5YA_2_30_66	Q03164_3807_3843
All-beta 2W7QA_6_72_87	Q9I0M4_76_91
All-alpha 2W9YA_2_106_136	Q9TZ51_104_134
Alpha-beta 2WAAA_2_302_335	B3PIB0_321_354
Alpha-beta 2WAOA_6_245_289	P10477_726_770
Alpha-beta 2WAXA_1_1_33	P26196_291_323
All-beta 2WBNA_6_22_45	P54308_232_255
All-alpha 2WCJA_2_93_118	P34170_112_137
All-alpha 2WCRA_2_115_147	O25318_148_180
Alpha-beta 2WCRA_3_17_53	O25318_50_86
Alpha-beta 2WCRA_3_81_114	O25318_114_147
All-beta 2WDCA_11_181_196	Q72IT0_192_207
Alpha-beta 2WDCA_16_104_142	Q72IT0_115_153
All-alpha 2WDCA_17_352_367	Q72IT0_363_378
All-alpha 2WDQC_1_34_60	P69054_34_60
All-alpha 2WDQC_2_80_106	P69054_80_106
Alpha-beta 2WDTA_3_170_204	Q8IKM8_170_204
Alpha-beta 2WEKA_10_174_197	Q8N4Q0_204_227
All-alpha 2WFBA_3_45_71	Q5DUA6_42_68
Alpha-beta 2WG3C_10_262_293	Q96QV1_475_506
All-beta 2WG3C_10_316_349	Q96QV1_529_562
All-alpha 2WHNA_3_16_42	Q5SK58_68_94
All-alpha 2WIYA_13_237_262	Q8GPH7_395_420
All-alpha 2WIYA_7_187_236	Q8GPH7_345_394
All-beta 2WJRA_2_42_82	P69856_66_106
All-beta 2WJRA_3_115_146	P69856_139_170
All-alpha 2WKNA_10_335_355	A9BPK4_335_355
